Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras
JUNIN 1600. Entre Las heras, av. y Vicente lópez;Barrio Norte, Capital Federal;$ 470.000;$ 120.000 Expensas;40;1;1;1;0
Conesa al 1900;Belgrano R, Belgrano;USD 2.500;$ 450.000 Expensas;120;4;3;3;1
Paunero 2800;Palermo, Capital Federal;USD 350;$ 122.800 Expensas;35;1;1;1;0
Av. Las Heras 3700;Palermo, Capital Federal;$ 750.000;$ 239.840 Expensas;67;3;2;1;0
Rodriguez Peña al 1900;Recoleta, Capital Federal;$ 980.000;$ 125.000 Expensas;100;4;2;1;0
AYACUCHO 1400. Entre Pacheco de melo, jose y PeÑa;Recoleta, Capital Federal;$ 500.000;$ 60.000 Expensas;38;2;1;1;0
Amenábar;Belgrano C, Belgrano;Consultar precio;$ 90.000 Expensas;35;2;1;1;0
Zabala 2600;Colegiales, Capital Federal;$ 650.000;$ 168.400 Expensas;40;2;1;1;1
calderon de la barca 964;Villa Luro, Capital Federal;$ 850.000;$ 130.000 Expensas;73;4;3;2;0
Paraná 838;Recoleta, Capital Federal;$ 430.000;$ 98.000 Expensas;45;2;1;1;0
Av. Independencia  al 800;San Telmo, Capital Federal;$ 350.000;$ 100.000 Expensas;30;2;1;1;0
AVDA DEL LIBERTADOR 6700. Entre Congreso, avda.;Núñez, Capital Federal;$ 680.000;$ 115.000 Expensas;174;2;1;1;0
Charcas 4900;Palermo Hollywood, Palermo;$ 450.000;$ 80.000 Expensas;40;1;1;1;0
Av. Las Heras 2900;Palermo Chico, Palermo;$ 750.000;$ 122.206 Expensas;57;3;2;1;0
CARLOS CALVO 1656;San Cristobal, Capital Federal;$ 360.000;$ 80.000 Expensas;34;1;0;1;0
AV SAN MARTIN  2355;Villa Crespo, Capital Federal;$ 650.000;$ 120.000 Expensas;55;2;1;1;1
Charlone  al 500;Chacarita, Capital Federal;USD 1.500;;75;3;2;1;0
Gavilán 300;Flores, Capital Federal;$ 500.000;$ 170.000 Expensas;60;4;3;1;0
Uriarte;Palermo Soho, Palermo;$ 490.000;$ 70.000 Expensas;45;2;1;1;0
Araoz 2288;Palermo, Capital Federal;$ 400.000;$ 90.000 Expensas;28;1;0;1;0
Ayacucho 1820;Recoleta, Capital Federal;USD 1.650;;104;3;2;2;0
Humahuaca 3708;Almagro, Capital Federal;$ 450.000;$ 100.000 Expensas;37;1;1;1;0
CALLAO AV. 1200;Recoleta, Capital Federal;$ 600.000;$ 456.490 Expensas;52;2;1;0;0
Av del libertador;Núñez, Capital Federal;USD 1.200;$ 400.000 Expensas;90;3;2;2;1
Av. Coronel Diaz 1520;Palermo, Capital Federal;USD 1.100;;90;4;3;2;0
Av  Cabildo 3242,;Belgrano, Capital Federal;USD 1.200;$ 90.000 Expensas;65;3;2;1;0
Juan Francisco Seguí y Sinclair;Palermo, Capital Federal;USD 690;$ 140.000 Expensas;55;2;1;1;0
Arévalo al 1900;Palermo, Capital Federal;USD 1.200;;0;2;1;1;0
Juana Manso 1965;Puerto Madero, Capital Federal;USD 1.500;;68;2;1;1;1
Dorrego 2080;Colegiales, Capital Federal;USD 1.200;$ 1 Expensas;65;2;1;1;0
Dorrego 2080;Colegiales, Capital Federal;USD 2.200;$ 1 Expensas;75;3;2;1;0
Defensa;San Telmo, Capital Federal;$ 1.800.000;$ 200.000 Expensas;230;9;6;3;0
Vidal;Belgrano C, Belgrano;$ 750.000;$ 170.000 Expensas;72;3;2;1;1
Arenales;Recoleta, Capital Federal;USD 450;$ 137.000 Expensas;40;1;1;1;1
Juana Manso 1500;Puerto Madero, Capital Federal;USD 2.000;;62;2;1;2;0
Dirección no informada;Barracas, Capital Federal;$ 350.000;$ 78.000 Expensas;36;2;1;1;0
Santa Fe n°5000;Palermo, Capital Federal;$ 350.000;$ 200.000 Expensas;36;1;0;1;0
AVELLANEDA 0;Almagro, Capital Federal;$ 400.000;$ 95.000 Expensas;30;1;0;1;0
Talcahuano 77;San Nicolás, Capital Federal;$ 380.000;$ 100.000 Expensas;60;2;1;1;0
Malabia 2364;Palermo, Capital Federal;USD 830;;75;1;2;1;0
Av Santa Fe 3100. Entre Billinghurst y Av coronel diaz;Barrio Norte, Capital Federal;$ 650.000;$ 60.000 Expensas;58;3;2;1;0
LIBERTAD 1500;Recoleta, Capital Federal;USD 2.400;;120;4;3;2;0
LAS HERAS GRAL. AV 3400;Palermo Chico, Palermo;$ 800.000;$ 91.490 Expensas;75;3;2;1;0
Rodriguez Peña 2000. Entre Av. del libertador y Posadas;Recoleta, Capital Federal;USD 1.400;;111;3;2;0;1
Amenabar 700;Colegiales, Capital Federal;$ 380.000;$ 196.600 Expensas;30;1;0;1;0
Bolívar;San Telmo, Capital Federal;USD 700;;55;2;1;1;0
Conde 908;Colegiales, Capital Federal;$ 370.000;$ 100.000 Expensas;37;2;1;1;0
Cabello 3409, Piso 2°, Depto. C, Entre Salguero y Paunero;Palermo Viejo, Palermo;USD 600;;40;2;1;1;0
TUCUMAN 900. Entre Suipacha y Carlos pellegrini;San Nicolás, Capital Federal;$ 300.000;$ 48.000 Expensas;18;1;0;0;0
TUCUMAN 900. Entre Suipacha y Carlos pellegrini;San Nicolás, Capital Federal;$ 300.000;$ 48.000 Expensas;18;1;0;0;0
Monoambiente Amoblado - San Telmo - Chile al 1200;San Telmo, Capital Federal;$ 600.000;$ 70.000 Expensas;35;1;1;1;0
Arenales  1100;Barrio Norte, Capital Federal;USD 450;;30;2;1;1;0
Dos Ambientes en Monserrat Microcentro - Amoblado - Chile al 1200;Monserrat, Capital Federal;$ 600.000;$ 70.000 Expensas;37;1;1;1;0
Romulo Naon 2700;Coghlan, Capital Federal;USD 750;;85;3;2;1;0
ROSARIO VERA PEÑALOZA;Puerto Madero, Capital Federal;USD 2.500;;64;2;1;1;1
Aguero al 900;Barrio Norte, Capital Federal;$ 380.000;;42;1;0;1;0
Scalabrini Ortíz 3600, Palermo Chico , Caba, Argentina;Palermo, Capital Federal;USD 440;$ 115.000 Expensas;30;2;1;1;0
Av Del Libertador 8100. Entre Ruiz huidrobro y Correa;Núñez, Capital Federal;USD 1.300;;63;2;1;2;0
DEL LIBERTADOR AV. 900;Recoleta, Capital Federal;$ 700.000;$ 388.000 Expensas;120;3;2;1;0
Avenida cordoba 1300;Barrio Norte, Capital Federal;USD 800;;70;2;0;1;0
Avenida Córdoba y Talcahuano 1300;Recoleta, Capital Federal;USD 800;$ 180.000 Expensas;55;2;1;1;0
Avenida cordoba 1300;Barrio Norte, Capital Federal;USD 800;;55;2;1;1;0
Campana 4100;Villa Devoto, Capital Federal;$ 600.000;$ 118.000 Expensas;53;3;2;1;0
AV ALVEAR 1500;Recoleta, Capital Federal;USD 3.500;;330;5;4;4;0
Cespedes 2487;Colegiales, Capital Federal;USD 500;;42;2;1;1;0
Concepcion Arenal 2900;Colegiales, Capital Federal;USD 1.350;;50;2;1;2;0
Juana manso 530;Puerto Madero, Capital Federal;USD 1.950;;67;2;1;2;1
Dirección no informada;Recoleta, Capital Federal;$ 600.000;$ 70.000 Expensas;35;1;1;1;0
Tacuarí;San Telmo, Capital Federal;$ 400.000;$ 80.000 Expensas;63;2;1;1;0
Avenida Francisco Beiro  4200 6°;Villa Devoto, Capital Federal;$ 900.000;$ 90.000 Expensas;69;2;1;2;0
Zapata 359;Belgrano C, Belgrano;USD 900;$ 250.000 Expensas;48;2;1;2;0
ARAOZ ALFARO 414;Caballito, Capital Federal;$ 400.000;$ 60.300 Expensas;35;2;1;0;0
CRAMER 391. Entre Newbery, jorge y Dumont, santos;Colegiales, Capital Federal;$ 750.000;$ 46.000 Expensas;55;3;2;1;1
Austria  2512, Piso 1 H;Recoleta, Capital Federal;USD 500;$ 182.000 Expensas;35;1;0;1;0
San José  28 Piso 4  Disponible Desde EL 25 de Enero al 2 de Marzo;Congreso, Capital Federal;USD 900;;70;3;2;1;0
Montañeses al 1800;Belgrano, Capital Federal;USD 1.100;$ 1 Expensas;60;3;2;1;0
Malabia 2313;Botánico, Palermo;$ 950.000;$ 126.000 Expensas;80;3;2;1;0
Av del Libertador al 5600;Belgrano, Capital Federal;$ 1.050.000;;65;2;1;1;0
sanchez de bustamante 1900;Barrio Norte, Capital Federal;$ 1.300.000;;62;0;2;1;0
José Bonifacio 2400;Flores Norte, Flores;$ 550.000;$ 100.000 Expensas;75;2;2;0;0
Fitz Roy al 2300;Palermo Hollywood, Palermo;USD 850;;56;1;0;1;1
C. Silvio L. Ruggeri 2780;Botánico, Palermo;$ 350.000;$ 80.000 Expensas;45;0;0;0;0
Macacha Guemes al 300;Puerto Madero, Capital Federal;USD 3.500;$ 500 Expensas;220;3;2;2;1
Castillo 1200;Villa Crespo, Capital Federal;$ 500.000;$ 35.000 Expensas;30;1;0;1;0
Quirno 300 Alquiler;Flores, Capital Federal;$ 500.000;$ 49.130 Expensas;33;1;0;1;0
Conesa , Belgrano, Capital Federal, Argentina.;Belgrano R, Belgrano;USD 800;$ 130.000 Expensas;47;2;1;1;0
Bartolome Mitre 1192;San Nicolás, Capital Federal;$ 480.000;;44;2;1;1;0
Av. Pueyrredon y Peña;Barrio Norte, Capital Federal;$ 450.000;$ 78.000 Expensas;40;2;1;1;0
DR EMILIO RAVIGNANI 1400;Palermo Hollywood, Palermo;$ 450.000;$ 90.000 Expensas;43;1;0;1;1
DEL LIBERTADOR, AVDA. 7700. Entre Paroissien y Manzanares;Puerto Madero, Capital Federal;USD 700;$ 130 Expensas;44;1;0;1;1
Paraguay 3140;Barrio Norte, Capital Federal;$ 400.000;$ 230.000 Expensas;0;1;0;1;0
Avenida Callao 1400;Recoleta, Capital Federal;USD 2.200;$ 445.000 Expensas;93;3;2;2;0
combate de los Pozos 1138;San Cristobal, Capital Federal;$ 750.000;$ 135.000 Expensas;64;4;3;1;0
Sinclair Entre Libertador  y Seguí;Palermo Nuevo, Palermo;USD 2.000;$ 600.000 Expensas;123;4;3;2;0
Soler 4904;Palermo Soho, Palermo;$ 700.000;$ 120.000 Expensas;67;3;2;1;0
Nicaragua 6045;Palermo Hollywood, Palermo;USD 1.000;$ 270.000 Expensas;76;2;1;1;1
Ciudad de la Paz;Belgrano C, Belgrano;$ 350.000;$ 170.000 Expensas;30;0;0;1;0
PASO 128;Almagro, Capital Federal;$ 450.000;$ 75.000 Expensas;38;2;1;1;0
Alquiler Amoblado Juncal al 2000;Barrio Norte, Capital Federal;$ 950.000;$ 142.000 Expensas;70;2;1;1;0
Nicaragua  al 6000;Palermo Hollywood, Palermo;USD 650;$ 228.000 Expensas;49;1;1;1;1
Aranguren  2300;Flores, Capital Federal;$ 450.000;$ 70.000 Expensas;37;2;1;1;0
SALGUERO, JERONIMO 1380;Palermo, Capital Federal;$ 360.000;$ 70.000 Expensas;27;1;0;1;0
Demaria al 4700;Palermo, Capital Federal;USD 1.500;$ 400.000 Expensas;72;2;1;1;1
Scalabrini Ortiz al 3100;Palermo, Capital Federal;USD 1.200;;87;3;2;1;0
AMENABAR 80. Entre Dorrego, avda. y Arenal, concepcion;Palermo, Capital Federal;USD 1.300;;50;2;1;1;0
JUSTO, JUAN B. AVDA. 1045. Entre Soler y Guatemala;Palermo Hollywood, Palermo;USD 1.150;;60;2;1;2;1
Suipacha 588;San Nicolás, Capital Federal;$ 800.000;$ 138.390 Expensas;77;4;0;2;0
Suipacha 800;San Nicolás, Capital Federal;$ 250.000;$ 40.000 Expensas;22;1;0;1;0
Avenida Avellaneda  1200;Caballito Norte, Caballito;$ 750.000;;62;2;1;1;0
Azucena Villaflor al 500;Puerto Madero, Capital Federal;USD 3.200;$ 700.000 Expensas;100;2;1;2;1
Arroyo 900;Retiro, Capital Federal;USD 1.200;;65;2;1;1;0
La Pampa  1200 1°;Belgrano, Capital Federal;$ 600.000;$ 300.000 Expensas;56;2;1;2;0
Rodriguez Peña 434;San Nicolás, Capital Federal;$ 300.000;$ 150.000 Expensas;45;1;0;0;0
Quirno Costa 1200. Entre Charcas y Mansilla;Barrio Norte, Capital Federal;$ 340.000;$ 113.000 Expensas;39;1;0;1;0
esmeralda 1385;Retiro, Capital Federal;USD 1.000;$ 290.000 Expensas;100;4;3;1;1
Diagonal Julio A Roca  500 9°;Monserrat, Capital Federal;$ 450.000;$ 150.000 Expensas;46;2;1;1;0
Virrey Loreto;Belgrano R, Belgrano;USD 900;;45;2;1;1;1
Ambrosetti Juan B. 800. Entre Avenida díaz velez y Franklin;Caballito, Capital Federal;$ 550.000;$ 200.000 Expensas;42;2;1;1;1
Balbin  2300;Belgrano, Capital Federal;$ 415.000;$ 120.000 Expensas;43;1;0;1;0
Guemes al 3300 Torre Promenade  Piso 24;Palermo, Capital Federal;USD 2.500;$ 400.000 Expensas;86;3;2;2;0
Quevedo 3200;Villa Devoto, Capital Federal;$ 550.000;$ 50.000 Expensas;35;2;1;1;0
Viamonte 800;San Nicolás, Capital Federal;$ 250.000;$ 135.000 Expensas;25;1;0;1;0
JUAN DOMINGO PERON 4139;Almagro, Capital Federal;$ 500.000;$ 93.800 Expensas;50;3;2;1;0
avenida Federico Lacroze y conde;Colegiales, Capital Federal;USD 630;;37;1;1;1;0
BILLINGHURST 1400. Entre Paraguay y Soler;Barrio Norte, Capital Federal;$ 850.000;;63;2;1;2;0
Franklin 47;Caballito, Capital Federal;$ 350.000;$ 115.000 Expensas;35;1;0;1;0
ZAPATA 300;Belgrano, Capital Federal;USD 1.000;$ 200.000 Expensas;45;2;1;1;0
Monroe 3624;Coghlan, Capital Federal;$ 690.000;$ 140.000 Expensas;58;3;2;1;0
Juana Manso 153;Puerto Madero, Capital Federal;USD 1.800;$ 350.000 Expensas;90;2;1;1;1
Avenida Pueyrredon  900;Balvanera, Capital Federal;USD 1.000;;80;3;2;1;0
Bustamante  al 1600;Barrio Norte, Capital Federal;USD 600;$ 63.000 Expensas;0;1;0;1;0
Viamonte 1600;Tribunales, Capital Federal;$ 500.000;$ 143.000 Expensas;55;2;0;1;0
Salguero  al 1600;Palermo, Capital Federal;USD 600;$ 39.000 Expensas;50;2;1;1;0
Aguero al 800;Barrio Norte, Capital Federal;$ 690.000;$ 50.000 Expensas;65;2;1;1;0
Amenábar 608 5º 11;Colegiales, Capital Federal;$ 700.000;$ 219.538 Expensas;78;4;3;2;0
Almagro;Almagro, Capital Federal;$ 640.000;$ 100.000 Expensas;61;1;0;1;0
Almagro;Almagro, Capital Federal;$ 665.000;$ 120.000 Expensas;82;1;0;1;0
Sarmiento 4100;Almagro, Capital Federal;$ 415.000;$ 80.000 Expensas;40;1;0;1;0
Soler al 5700;Palermo Hollywood, Palermo;USD 600;$ 14.000 Expensas;38;1;0;1;0
Moreno  al 500;San Telmo, Capital Federal;USD 550;;40;1;0;1;0
Soldado de la Independencia;Las Cañitas, Palermo;$ 290.000;$ 79.000 Expensas;28;1;0;1;0
Guatemala 5954;Palermo Hollywood, Palermo;$ 980.000;$ 170.000 Expensas;52;2;1;1;0
Fitz Roy 1416;Palermo Hollywood, Palermo;$ 680.000;;55;2;1;1;0
Av. de Mayo  al 300;Centro / Microcentro, Capital Federal;$ 550.000;$ 179.000 Expensas;60;3;2;1;1
Republica Arabe Siria  2900;Palermo Chico, Palermo;USD 950;;40;2;1;1;0
Dorrego 1940;Palermo Hollywood, Palermo;USD 2.200;$ 590.000 Expensas;240;4;3;1;1
Salguero 1965;Palermo, Capital Federal;$ 1.800.000;$ 330.000 Expensas;220;7;4;2;0
Bahia Blanca 3300;Villa Devoto, Capital Federal;$ 360.000;$ 50.000 Expensas;40;3;1;1;0
Quesada 3258;Coghlan, Capital Federal;$ 750.000;$ 120.000 Expensas;75;2;1;1;0
TEODORO GARCIA 1700;Las Cañitas, Palermo;USD 500;;39;1;1;1;0
cabello 3200;Palermo Chico, Palermo;USD 450;$ 250.000 Expensas;38;1;1;1;0
Azucena Villa Flor 669;Puerto Madero, Capital Federal;USD 3.600;$ 970.000 Expensas;191;3;2;3;2
Coronel diaz 2551;Palermo Chico, Palermo;$ 300.000;$ 120.000 Expensas;27;1;1;0;0
Marcelo T de Alvear 1640 5º A;Barrio Norte, Capital Federal;$ 990.000;$ 180.000 Expensas;101;4;3;3;0
Guido 1595;Recoleta, Capital Federal;$ 1.100.000;$ 180.000 Expensas;90;2;1;1;0
Moldes 600;Colegiales, Capital Federal;$ 380.000;$ 176.787 Expensas;31;1;0;1;0
Maure 1540;Palermo, Capital Federal;USD 1.300;;85;3;2;2;0
Ava Directorio 2123;Flores Sur, Flores;$ 350.000;$ 100.000 Expensas;32;1;0;1;0
Paraguay 400;Centro / Microcentro, Capital Federal;USD 1.200;;60;3;2;1;0
LIBERTAD 1600;Recoleta, Capital Federal;USD 900;$ 410.302 Expensas;116;4;3;2;0
Arribeños al 1500;Belgrano, Capital Federal;USD 6.000;$ 90.000 Expensas;540;4;3;3;2
Bulnes 1800;Palermo, Capital Federal;USD 1.200;$ 150.000 Expensas;100;3;4;2;0
Thames al 2300;Palermo, Capital Federal;USD 800;$ 170.000 Expensas;43;1;1;1;0
bulnes al 1800;Palermo, Capital Federal;$ 330.000;$ 110.000 Expensas;24;1;0;1;0
Salguero al 2600;Palermo, Capital Federal;USD 700;$ 165.000 Expensas;36;1;1;1;0
martha Lynch 551;Puerto Madero, Capital Federal;USD 5.000;$ 850.000 Expensas;170;4;3;3;2
11 de Septiembre 832;Belgrano, Capital Federal;USD 700;$ 1 Expensas;46;1;1;1;0
AGUERO 2300;Recoleta, Capital Federal;USD 1.500;;70;3;2;2;1
Garay 1472;Constitución, Capital Federal;$ 300.000;$ 30.000 Expensas;25;1;0;1;0
LA PAMPA 700;Belgrano, Capital Federal;USD 600;$ 239.760 Expensas;52;1;0;1;0
SUIPACHA 200. Entre Diagonal norte y Pte. juan domingo peron;San Nicolás, Capital Federal;$ 430.000;$ 71.400 Expensas;47;2;1;0;0
Gelly y Obes al 2200;Recoleta, Capital Federal;USD 2.500;$ 1.800.000 Expensas;405;6;4;5;2
Juncal al 3600;Botánico, Palermo;USD 900;$ 1 Expensas;45;2;1;1;0
Alquiler Agrelo al 4361;Boedo, Capital Federal;$ 300.000;$ 55.000 Expensas;25;1;0;1;0
Paraguay 400;Retiro, Capital Federal;$ 900.000;$ 105.000 Expensas;57;3;2;2;0
Concepción Arenal  al 2900;Palermo Hollywood, Palermo;USD 1.800;$ 199.000 Expensas;57;2;1;1;1
Juncal 2500;Barrio Norte, Capital Federal;$ 430.000;$ 51.000 Expensas;36;2;1;1;0
Juncal al 1600;Recoleta, Capital Federal;USD 1.600;$ 480.000 Expensas;175;6;3;2;1
Demaria;Palermo, Capital Federal;USD 1.600;;70;3;2;2;0
Jufre  al 100;Villa Crespo, Capital Federal;$ 650.000;$ 111.091 Expensas;45;1;0;1;1
Avenida Belgrano;Temperley, San Telmo;$ 530.000;$ 150.000 Expensas;60;3;2;1;0
Velazco  1000 5;Villa Crespo, Capital Federal;$ 530.000;$ 150.000 Expensas;40;2;1;1;0
Corvalán 2636;Villa Lugano, Capital Federal;$ 550.000;;64;2;1;1;0
Av Juan de Garay 700. Entre Chacabuco y Piedras;San Telmo, Capital Federal;$ 475.000;$ 85.000 Expensas;43;3;2;1;0
CHILAVERT 6100;Villa Lugano, Capital Federal;$ 500.000;;65;2;1;1;0
Isabel la Catolica 1000. Entre Magallanes y Rocha;Barracas, Capital Federal;$ 450.000;$ 83.000 Expensas;40;2;1;1;0
Franklin D. Roosevelt 1800;Belgrano C, Belgrano;USD 750;;62;2;1;1;1
Ortega Y Gasset  1900;Las Cañitas, Palermo;USD 3.000;$ 890.000 Expensas;97;3;2;2;1
Av. de Mayo 1316;Monserrat, Capital Federal;$ 450.000;$ 120.000 Expensas;40;2;1;1;0
Olga Cossettini 1300;Puerto Madero, Capital Federal;USD 1.400;$ 580.000 Expensas;96;3;2;2;1
Florida entre Paraguay y M. T de Alvear;San Nicolás, Capital Federal;$ 350.000;;20;1;0;1;0
Washington  3500 3°;Saavedra, Capital Federal;$ 900.000;$ 95.000 Expensas;80;4;3;2;0
Arenales 1900 5°;Barrio Norte, Capital Federal;$ 1.700.000;$ 515.000 Expensas;171;0;3;4;1
Lavalle;Abasto, Capital Federal;$ 500.000;;48;2;1;1;0
Marcelo T Alvear  500;Recoleta, Capital Federal;$ 900.000;;50;2;1;1;0
ENTRE RIOS 962;San Cristobal, Capital Federal;$ 700.000;$ 120.000 Expensas;73;4;3;1;0
Cordoba Y Acuña De Figueroa;Almagro, Capital Federal;$ 900.000;;55;2;1;1;0
Av. Figueroa Alcorta al 3500;Palermo, Capital Federal;USD 7.000;$ 1.408.000 Expensas;206;4;3;3;2
Av Callao  y Juncal. Edificio Concord. 8 Piso. Ambiente Único  al  Frente. Amenities.;Recoleta, Capital Federal;Consultar precio;;33;1;0;1;0
FERNANDEZ;Floresta, Capital Federal;$ 295.000;$ 80.000 Expensas;32;0;0;1;0
Avenida Cordoba Y;Recoleta, Capital Federal;USD 800;;40;2;1;1;0
Fitz Roy al 2100 (y Soler);Palermo Hollywood, Palermo;USD 500;$ 145.000 Expensas;45;1;1;1;0
Peña   3100;Barrio Norte, Capital Federal;$ 450.000;$ 95.000 Expensas;35;1;1;1;0
Santos Dumont al 3400;Palermo, Capital Federal;USD 600;$ 177.000 Expensas;45;2;1;1;1
Suipacha 1300,;Recoleta, Capital Federal;USD 2.400;;220;5;4;3;1
Marcelo T Alvear  500;Retiro, Capital Federal;$ 900.000;;50;2;1;1;0
Viamonte 800;San Nicolás, Capital Federal;$ 250.000;$ 146.550 Expensas;25;1;0;1;0
Av Caseros 700. Entre Chacabuco y Piedras;San Telmo, Capital Federal;$ 400.000;$ 179.774 Expensas;57;1;0;1;0
Cabello 3600;Palermo Chico, Palermo;USD 500;;25;1;0;0;0
Av Nazca;Villa Santa Rita, Capital Federal;$ 500.000;$ 83.000 Expensas;4214;2;1;1;0
ARAOZ;Palermo, Capital Federal;$ 400.000;$ 120.000 Expensas;40;1;0;1;0
Boyaca 371;Flores Norte, Flores;$ 550.000;$ 140.000 Expensas;62;3;2;1;0
Soler 3300;Palermo, Capital Federal;$ 400.000;$ 135.000 Expensas;34;1;0;1;0
Panama 920;Almagro Norte, Almagro;$ 395.000;$ 55.000 Expensas;35;0;1;1;0
JULIAN ALVAREZ 966;Villa Crespo, Capital Federal;$ 400.000;$ 25.000 Expensas;36;2;1;1;0
Bogota;Flores Norte, Flores;$ 750.000;$ 168.000 Expensas;102;4;3;1;0
Posadas  al 1500;Recoleta, Capital Federal;USD 1.400;;110;3;2;2;0
Juncal 800;Retiro, Capital Federal;$ 450.000;$ 90.000 Expensas;30;1;0;1;0
Guido al 1500;Recoleta, Capital Federal;$ 1.150.000;;80;2;1;1;0
Gallo 1071;Palermo, Capital Federal;$ 520.000;$ 155.000 Expensas;34;1;0;1;0
AVENIDA SANTA FE 1159;Barrio Norte, Capital Federal;$ 1.100.000;$ 350.000 Expensas;150;5;0;3;0
Saavedra al 600;Balvanera, Capital Federal;$ 450.000;;45;2;1;1;0
Arenales 855;Puerto Retiro, Retiro;$ 550.000;;35;2;1;1;0
AV. CRAMER 2361. Entre Blanco encalada y Olazabal;Belgrano, Capital Federal;$ 310.000;$ 100.000 Expensas;29;1;0;1;0
LARREA 280. Entre Peron, juan d., pte. y Albarracin, de sarmiento, p.;Balvanera, Capital Federal;$ 380.000;$ 100.000 Expensas;23;1;0;1;0
Gorriti 3700;Palermo, Capital Federal;$ 680.000;$ 220.000 Expensas;40;2;1;1;0
Av  Caseros 700. Entre Chacabuco y Piedras;San Telmo, Capital Federal;$ 400.000;$ 186.119 Expensas;63;1;0;1;0
Santander 1500;Parque Chacabuco, Capital Federal;$ 350.000;$ 78.500 Expensas;34;1;0;1;0
Clay 2800;Las Cañitas, Palermo;USD 2.500;$ 130.000 Expensas;76;3;2;2;0
Av  Caseros 700. Entre Chacabuco y Piedras;San Telmo, Capital Federal;$ 425.000;$ 147.344 Expensas;51;1;0;1;1
AMENABAR 3500. Entre Nuñez y Crisologo larralde;Núñez, Capital Federal;USD 600;;38;2;1;1;0
Vuelta de Obligado al 2300;Belgrano C, Belgrano;$ 650.000;$ 85.000 Expensas;40;2;1;1;0
Avenida Santa Fe  4800;Palermo Hollywood, Palermo;USD 1.200;;43;2;1;1;0
Sanchez de Bustamante al 2600 2°;Palermo, Capital Federal;$ 1.800.000;$ 345.000 Expensas;166;6;3;2;0
Gallo al 1000;Palermo, Capital Federal;$ 480.000;$ 134.700 Expensas;33;1;0;1;0
PEÑA;Barrio Norte, Capital Federal;$ 350.000;$ 35.628 Expensas;26;0;0;1;0
Azcuenaga y Vicente Lopez, Recoleta, Caba, Argentina;Recoleta, Capital Federal;USD 400;;25;1;0;1;0
Av. Independencia 2588 7ºB (alberti - Saavedra);San Cristobal, Capital Federal;$ 365.000;$ 94.000 Expensas;36;1;0;1;0
Marcelo T. de Alvear 445;Retiro, Capital Federal;$ 320.000;$ 100.000 Expensas;40;2;1;1;0
Carlos Calvo;Constitución, Capital Federal;$ 450.000;$ 285.000 Expensas;57;1;0;1;0
J Salguero  al 1600;Palermo, Capital Federal;$ 470.000;$ 62.220 Expensas;33;2;1;1;0
Julieta Lanteri al 1200;Puerto Madero, Capital Federal;USD 4.500;$ 940.000 Expensas;196;4;3;4;2
Bauness 2150;Villa Urquiza, Capital Federal;$ 450.000;$ 150.000 Expensas;52;1;0;1;0
Zapata  al 300 Departamento 2 Ambientes Belgrano-amoblado y Equipado. Full Amenities.;Belgrano, Capital Federal;USD 890;$ 300.000 Expensas;42;2;1;1;0
Armenia 1933;Palermo Soho, Palermo;USD 3.999;$ 530 Expensas;170;4;3;2;1
MONROE 2800;Belgrano, Capital Federal;USD 700;;35;1;1;1;0
republica de la india 2800;Botánico, Palermo;USD 500;$ 128.000 Expensas;30;1;1;1;0
Ramon L Falcon 5700;Villa Luro, Capital Federal;$ 800.000;$ 150.000 Expensas;69;3;2;2;0
Arregui  3900 4°;Monte Castro, Capital Federal;$ 400.000;$ 100.000 Expensas;44;2;1;1;0
Malvinas Argentinas 456;Caballito Sur, Caballito;USD 3.500;$ 550.000 Expensas;150;4;3;4;1
Amenabar 30;Palermo Hollywood, Palermo;USD 1.500;$ 150.000 Expensas;45;2;1;1;0
Avenida Corrientes 6100;Chacarita, Capital Federal;$ 400.000;;1;1;0;1;0
GUATEMALA 5600;Palermo, Capital Federal;USD 2.600;;90;3;2;1;0
JUNCAL 2500;Recoleta, Capital Federal;USD 2.000;;70;3;2;0;0
JUNCAL 2500;Recoleta, Capital Federal;USD 1.400;;54;2;1;1;0
Azcuenaga  al 1100;Recoleta, Capital Federal;USD 600;$ 105.000 Expensas;37;2;1;1;0
Avenida Cordoba 5578;Palermo Hollywood, Palermo;USD 600;;80;1;0;1;0
AV CALLAO 1000. Entre Av santa fe y Marcelo t de alvear;Recoleta, Capital Federal;$ 525.000;$ 55.000 Expensas;32;1;0;0;0
Migueletes 581;Palermo, Capital Federal;$ 480.000;$ 85.000 Expensas;30;1;0;1;0
José Antonio Cabrera 3856;Palermo, Capital Federal;USD 800;$ 1 Expensas;38;1;0;1;0
Eva Peron 1640;Parque Chacabuco, Capital Federal;$ 620.000;$ 140.000 Expensas;105;3;2;1;1
Amenabar 30;Palermo Hollywood, Palermo;USD 1.200;$ 150.000 Expensas;45;1;0;1;0
Bertres 566 3° A;Caballito, Capital Federal;$ 500.000;$ 195.000 Expensas;43;2;1;1;0
Amenabar  30;Palermo Hollywood, Palermo;USD 1.200;$ 150.000 Expensas;45;1;0;1;0
Republica de Eslovenia 1985;Las Cañitas, Palermo;USD 900;$ 100.000 Expensas;43;2;1;1;0
